,iteration,MAE,MSE,RMSE,RAE,RSE,RSQ,linear slope,linear intercept
0,0,0.4755318162584746,0.42463699537984645,0.6516417692105428,0.4947687617635626,0.3166145527028972,0.6833854472971028,0.6724216116648106,3.1769833987942846
1,1,0.4640296535457903,0.41756465440131557,0.6461924283070141,0.4718710545288764,0.30366888229303823,0.6963311177069618,0.6841207284962109,3.0306371907499408
2,2,0.46977253000371105,0.43503787676829453,0.659574011592554,0.47214842469030804,0.3150664329475247,0.6849335670524753,0.6741646048906954,3.1364049438711055
3,3,0.46860607561228296,0.4269731295496233,0.6534318094106096,0.4716032878579242,0.31332422189623055,0.6866757781037695,0.6705608955523364,3.1831469875176825
4,4,0.47012254372655865,0.44581657018229043,0.6676949679174544,0.45445147726212937,0.3043795831220694,0.6956204168779305,0.6954823321358953,2.940379554145334
5,5,0.4453529736169639,0.40870354145009824,0.6392992581335428,0.41979285994037385,0.2673480870816457,0.7326519129183543,0.7194521997672317,2.7068879057946305
6,6,0.5138800870480967,0.5145151054195153,0.7172970830970354,0.48732552876221685,0.33974192154073884,0.6602580784592611,0.6888255359298682,3.0053767496071613
7,7,0.4623275126088527,0.43759633030848916,0.6615106426267753,0.44950843941068325,0.2949578499561313,0.7050421500438687,0.7390544855929947,2.4980116567790747
8,8,0.4591222516967256,0.431382030722738,0.6567967956093711,0.4476508636108703,0.2915860818245939,0.7084139181754061,0.7432313695987915,2.4668166399777185
9,9,0.44531892431968223,0.40937112771542644,0.6398211685427627,0.4376258752302562,0.2784050715185976,0.7215949284814024,0.7304415870934762,2.577312996285177
