,iteration,MAE,MSE,RMSE,RAE,RSE,RSQ,linear slope,linear intercept
0,0,0.5576937646620638,0.5837011359709001,0.7640033612301061,0.40294103341290577,0.24891056878866363,0.7510894312113363,0.7191424793468787,2.5517872266128716
1,1,0.5453232034128481,0.575423360067044,0.758566648401473,0.39400314124070795,0.24538063577747168,0.7546193642225283,0.7384418177969777,2.405433046191381
2,2,0.5597535204520522,0.5816239578371841,0.7626427458759338,0.4044292338899168,0.24802478742063766,0.7519752125793624,0.7027164260806587,2.7382684682327705
3,3,0.5550261923041434,0.578241486158605,0.7604219132551383,0.4010136775220695,0.24658238325600257,0.7534176167439974,0.7205164245303639,2.6321626315166293
4,4,0.5444500945584315,0.5801180591786428,0.7616548162905837,0.39337230868281886,0.2473826195910135,0.7526173804089865,0.7496092148168666,2.3674877816859876
5,5,0.6340467062594503,0.6671273620975637,0.816778649388905,0.45810703156604765,0.2844864279353807,0.7155135720646193,0.6678590526106911,3.284034166351412
6,6,0.653093402118735,0.6859264701299084,0.8282067798140199,0.47186851824376236,0.29250302475982776,0.7074969752401723,0.6242488110773539,3.615446134848674
7,7,0.5414713435002192,0.5805527539700683,0.7619401249245693,0.39122012211425794,0.24756798864568083,0.7524320113543191,0.7603423924115031,2.2804482180839143
8,8,0.5582616746574174,0.5894167736593944,0.7677348329074267,0.4033513558065082,0.2513479165002911,0.7486520834997089,0.7359810008828482,2.5293558225492756
9,9,0.549288965607406,0.5763034864879156,0.7591465513903858,0.39686845625442935,0.2457559524498655,0.7542440475501345,0.7224906908629822,2.6132818873298946
